# AAPL 苹果 教学演示样本周线行情（非实时行情，不构成投资建议）
# 周期: 2025-09-15 起 每周一 共53周; OHLC 美元; volume 股
# 构造: 5 段几何趋势+随机噪声, 仅用于技术分析教学
date,open,high,low,close,volume
2025-09-15,228.755,230.844,227.999,228.0,119724971
2025-09-22,228.408,230.877,227.591,229.117,95753747
2025-09-29,230.855,232.945,225.969,227.201,82821163
2025-10-06,226.799,228.162,221.409,222.142,131642057
2025-10-13,222.49,224.544,221.278,222.461,66814653
2025-10-20,222.156,225.6,220.604,222.986,83584876
2025-10-27,222.31,222.798,221.434,221.605,103407619
2025-11-03,222.266,222.885,218.703,219.673,79946053
2025-11-10,218.943,233.741,218.391,232.745,90539974
2025-11-17,232.405,235.906,232.269,235.74,86579695
2025-11-24,236.807,237.001,231.726,232.1,90918938
2025-12-01,232.448,232.449,227.3,227.585,62477911
2025-12-08,227.77,231.843,225.385,230.225,118717287
2025-12-15,232.016,234.771,228.175,228.558,77714724
2025-12-22,227.265,232.623,225.954,232.105,96320754
2025-12-29,232.197,241.122,231.18,239.185,130926626
2026-01-05,239.856,241.752,238.615,241.3,140647208
2026-01-12,240.946,244.432,240.874,243.317,81902928
2026-01-19,241.984,242.999,238.932,241.086,75692402
2026-01-26,240.797,241.01,238.037,238.391,103860668
2026-02-02,239.876,241.255,238.781,240.546,136911937
2026-02-09,238.814,242.024,238.29,240.6,104564669
2026-02-16,240.331,243.377,239.376,242.338,129397190
2026-02-23,241.785,252.775,240.492,251.427,110105213
2026-03-02,252.299,254.143,250.96,254.034,123566681
2026-03-09,255.131,255.157,249.785,251.21,97803025
2026-03-16,249.58,255.731,248.804,254.54,68787671
2026-03-23,252.741,254.574,246.829,248.082,117065052
2026-03-30,249.562,249.848,248.011,248.152,45707676
2026-04-06,247.372,248.055,245.314,246.147,77739313
2026-04-13,245.637,248.425,244.302,247.864,77991400
2026-04-20,249.622,250.753,243.991,244.193,102706583
2026-04-27,245.612,246.515,245.385,245.464,66830473
2026-05-04,245.166,253.788,242.642,250.813,114654503
2026-05-11,250.163,254.624,249.221,254.06,117218772
2026-05-18,255.694,257.959,254.556,256.438,93053765
2026-05-25,257.221,262.313,256.574,260.936,112437474
2026-06-01,260.059,262.206,259.539,260.59,110338976
2026-06-08,260.436,260.491,257.631,259.658,98279259
2026-06-15,258.327,258.759,252.734,255.157,85933638
2026-06-22,255.573,256.419,252.283,252.882,58850015
2026-06-29,251.616,256.212,251.061,255.203,86804487
2026-07-06,254.816,256.068,250.101,251.75,108908457
2026-07-13,250.219,255.896,247.424,254.712,101243080
2026-07-20,252.911,257.81,250.598,256.35,82882636
2026-07-27,255.367,260.28,255.045,260.172,86503837
2026-08-03,261.044,267.895,259.084,265.238,146100087
2026-08-10,264.565,276.338,261.465,272.551,58810495
2026-08-17,272.391,275.528,271.926,275.369,71747225
2026-08-24,276.097,277.61,271.327,273.738,88337942
2026-08-31,274.286,274.914,274.089,274.606,127097214
2026-09-07,275.11,280.288,274.323,280.262,94263575
2026-09-14,281.496,282.224,273.278,276.11,134341994
