# ================================================================
# AAPL 苹果 真实周线行情（教学演示，不构成投资建议）
# Data Source & Provenance:
#   - 来源机构: Yahoo Finance (chart API, interval=1wk, range=1y)
#   - 抓取日期: 2026-09-04
# 口径: OHLC 单位美元; volume 单位股; 每周一根 bar
# ================================================================
date,open,high,low,close,volume
2025-09-01,237.21,241.32,234.36,239.69,168847600
2025-09-08,239.3,240.15,225.95,234.07,304787000
2025-09-15,237.0,246.3,235.03,245.5,360619500
2025-09-22,248.3,257.6,248.12,255.46,309374700
2025-09-29,254.56,259.24,253.01,258.02,218331700
2025-10-06,257.99,259.07,244.0,245.27,213437900
2025-10-13,249.38,253.38,244.7,252.29,196438500
2025-10-20,255.89,265.29,255.43,262.82,253202800
2025-10-27,264.88,277.32,264.65,270.37,293563300
2025-11-03,270.42,273.4,266.25,268.47,242583900
2025-11-10,268.96,276.7,267.46,272.41,232952800
2025-11-17,268.82,275.43,265.32,271.49,235974500
2025-11-24,270.9,280.38,270.9,278.85,166067000
2025-12-01,278.01,288.62,276.14,278.78,235050800
2025-12-08,278.13,280.03,273.81,278.28,176224300
2025-12-15,280.15,280.15,266.95,273.67,334459100
2025-12-22,272.86,275.43,269.56,273.4,105646200
2025-12-29,272.69,277.84,269.0,271.01,110986500
2026-01-05,270.64,271.51,255.7,259.37,236725400
2026-01-12,259.16,261.82,254.93,255.53,242545400
2026-01-19,252.73,254.79,243.42,248.04,216306500
2026-01-26,251.48,261.95,249.8,259.48,306601900
2026-02-02,260.03,280.91,259.21,278.12,332284600
2026-02-09,277.91,280.18,255.45,255.78,268299500
2026-02-16,258.05,266.82,255.54,264.58,165588200
2026-02-23,263.49,276.11,262.89,264.18,222748700
2026-03-02,262.41,266.53,254.37,257.46,210978500
2026-03-09,255.69,262.48,249.52,250.12,172752200
2026-03-16,252.11,255.13,246.0,247.99,223388900
2026-03-23,253.97,257.0,248.07,248.8,203871800
2026-03-30,250.07,256.18,245.51,255.92,160393100
2026-04-06,256.51,262.19,245.7,260.48,191923800
2026-04-13,259.73,272.3,256.66,270.23,239278200
2026-04-20,270.33,275.77,265.4,271.06,201605900
2026-04-27,266.09,287.22,265.07,280.14,283297200
2026-05-04,279.66,294.76,274.86,293.32,252233300
2026-05-11,291.98,303.2,290.23,300.23,230867400
2026-05-18,300.24,311.4,294.91,308.82,201591700
2026-05-25,309.56,315.0,307.67,312.06,216678600
2026-06-01,309.63,316.94,305.02,307.34,254400900
2026-06-08,308.74,317.4,287.38,291.13,282165800
2026-06-15,294.12,302.07,291.7,298.01,214314300
2026-06-22,297.31,302.42,273.75,283.78,518761900
2026-06-29,286.73,309.42,279.85,308.63,257044200
2026-07-06,307.36,316.91,307.0,315.32,219660300
2026-07-13,317.02,334.99,311.91,333.74,266929900
2026-07-20,333.51,334.37,319.35,333.02,221893000
2026-07-27,334.54,344.57,300.0,308.91,364861000
2026-08-03,309.58,316.29,301.32,313.33,273068900
2026-08-10,306.83,309.97,300.57,305.93,192525700
2026-08-17,306.21,320.28,302.94,309.35,229935400
2026-08-24,311.47,322.37,308.21,319.7,165636500
2026-08-31,319.6,328.4,312.8,324.96,128186500
2026-09-03,324.87,330.81,324.11,328.21,36448914
